URL,Green Hosting,Bytes,Cleaner Than %,Stats_Adjusted Bytes,Stats_Energy,Stats_CO2_Grid_Grams,Stats_CO2_Grid_Litres,Stats_CO2_Renewable_Grams,Stats_CO2_Renewable_Litres
https://avexnet.jp/,unknown,46403814,0.01,35034879.57,0.02642930713640526,11.681753754291126,6.497391438136723,10.127710494670497,5.6330325771357295,1652530684
https://www.petguide.com/,unknown,1309761,0.64,988869.555,0.0007459747973363848,0.32972086042268206,0.18339074256709573,0.2858575423393027,0.15899396504912014,1652530622
https://retrip.jp/,unknown,3130076,0.32,2363207.38,0.0017827357890084386,0.7879692187417299,0.4382684794641501,0.6831443543480338,0.3799648898883763,1652530632
https://brookehodokaaas54.top/,True,97479,0.98,73596.645,5.5519195692613727e-05,0.02453948449613527,0.013648861276750433,0.02127495578940958,0.011833130410069607,1652530615
https://tlgrm.ru/,True,353895,0.93,267190.725,0.0002015610106755048,0.08908996671857312,0.04955183948887036,0.07723817929085346,0.04295987532157269,1652530615
https://tu-freiberg.de/,unknown,859381,0.77,648832.655,0.0004894607239868493,0.21634164000218736,0.12032922016921659,0.18756134943176064,0.10432162255394525,1652530616
http://www.damazacchetti.it/,unknown,3247940,0.31,2452194.7,0.0018498652679845692,0.8176404484491796,0.4547716174274336,0.708868370691687,0.3942725877787162,1652530623
https://www.motortrend.com/hotrod/,unknown,620442,0.85,468433.71,0.0003533729399554432,0.1561908394603059,0.08687334490782213,0.13541251059092585,0.07531643839067294,1652530622
https://datawav.club/,unknown,2686805,0.37,2028537.775,0.001530270648887381,0.6763796268082224,0.37620234843073325,0.5863997126536443,0.3261555201779569,1652530630
https://qualys-secure.force.com/discussions/s/,unknown,534492,0.87,403541.46,0.0003044200899079442,0.13455367973931134,0.07483875667100495,0.11665377845272425,0.06488283157540521,1652530626
https://interfaceasia.com/,unknown,9079,1,6854.645,5.1709473598748456e-06,0.002285558733064682,0.0012712277673305758,0.001981507028304041,0.0011021142091427075,1652530619
https://www.forumactif.org/,True,508276,0.89,383748.38,0.0002894887587055564,0.12795403134785593,0.07116803223567746,0.11093209233596923,0.06170042975726608,1652530616
https://oggi.jp/,True,4516033,0.25,3409604.915,0.002572108042566106,1.1368717548142189,0.6323280700276684,0.9856318019113319,0.5482084082230827,1652530639
https://www.greatbigcanvas.com/,unknown,2808015,0.36,2120051.325,0.0015993058432359252,0.7068931827102789,0.39317398822345706,0.6128539991280066,0.34086939431499724,1652530627
https://metasploit.com/,unknown,1296590,0.64,978925.45,0.0007384732500649989,0.3264051765287295,0.18154655918527932,0.2829829494249076,0.15739511647013357,1652530623
https://www.dailyrepublic.com/,True,2589292,0.44,1954915.46,0.00147473208848387,0.6518315831098705,0.3625487265257099,0.5651173363070191,0.31431826245396394,1652530629
https://twoplustwo.com/,unknown,2279600,0.43,1721098,0.0012983469106256963,0.5738693344965577,0.31918612384698536,0.4975265361517669,0.2767242594076127,1652530630
https://www.xiaolvji.com/,unknown,154185,0.96,116409.675,8.78161161672324e-05,0.03881472334591672,0.021588749124998877,0.033651135715283456,0.018716761684840655,1652530652
https://www.practicalpainmanagement.com/,unknown,1675025,0.56,1264643.875,0.0009540110256057233,0.42167287331772974,0.23453445213932123,0.3655770250121132,0.20333394131173732,1652530638
https://streamhub.shop/,unknown,2516853,0.4,1900224.015,0.001433474432816729,0.6335956993049942,0.35240592795343767,0.5493074026553706,0.3055247773569171,1652530618
https://www.skrill.com/en/,unknown,2502716,0.4,1889550.58,0.0014254226999357343,0.6300368333715946,0.3504264867212808,0.5462219786153735,0.3038086645058707,1652530626
https://signaturetitleloans.com/,True,385152,0.92,290789.76,0.00021936344504356386,0.09695864270925522,0.053928397074887745,0.08406007214069368,0.04675421212465381,1652530619
https://grand-national.club/,True,962294,0.78,726531.97,0.000548074856121093,0.24224908640552312,0.13473894185875193,0.2100222848656029,0.11681439484224831,1652530616
https://www.csa.cz/cz-cs/,True,2129292,0.51,1607615.46,0.001212738941051066,0.5360306119445711,0.2981402263635704,0.4647215622107685,0.2584781329016294,1652530623
https://barn2.com/,True,1297010,0.69,979242.55,0.0007387124611996115,0.3265109078502283,0.18160536694629695,0.28307461513169113,0.15744610093624659,1652530618
https://easierwithpractice.com/,True,2515283,0.45,1899038.665,0.0014325802388135344,0.6332004655555822,0.35218609894201475,0.5489647475133465,0.30533419256692323,1652530621
https://www.artistsnetwork.com/,True,4608182,0.25,3479177.41,0.0026245915350504223,1.1600694584922866,0.6452306328134096,1.0057434762313218,0.559394521479861,1652530626
https://miami-airport.com/,unknown,5180607,0.18,3911358.285,0.0029506163772661242,1.304172438751627,0.7253807104336547,1.1306761957683786,0.628882100086372,1652530623
https://crest.com/en-us,True,4670076,0.24,3525907.38,0.0026598432825878262,1.175650730903819,0.6538969365287041,1.019251945887655,0.5669079323027136,1652530629
https://enablers.org/,True,6826944,0.15,5154342.72,0.0038882881432771685,1.7186233593285085,0.9558983124585162,1.4899920165038112,0.8287335595794196,1652530633
https://www.diversityinc.com/,unknown,2388401,0.41,1803242.755,0.00136031455504708,0.6012590333308093,0.33442027433859606,0.5212725374940411,0.2899317853541856,1652530626
https://freebusinessapps.net/,True,246058,0.95,185773.79,0.00014014241276308895,0.06194294644128532,0.034452666810642886,0.0537025725708157,0.029869370863887686,1652530614
https://www.borgwarner.com/home,True,5238327,0.22,3954936.885,0.002983490821765736,1.3187029432204553,0.7334625770192171,1.14327368290063,0.6358888224293303,1652530621
https://genius.com/,True,2666059,0.43,2012874.545,0.0015184547579381615,0.6711570030086673,0.3732975250734207,0.5818718632419035,0.3236371303351467,1652530648
https://amsterdamnews.com/,unknown,4354782,0.22,3287860.41,0.0024802674838341776,1.0962782278547065,0.6097499503327877,0.9504384998052569,0.5286338935916838,1652530638
https://www.radikaltechnologies.com/,True,92432599,0.01,69786612.245,0.05264501638566144,23.269097242462358,12.942271886257561,20.173570278985466,11.220539789171713,1652530644
https://www.comline.uk.com/,True,7301118,0.14,5512344.09,0.004158354096952826,1.8379925108531492,1.0222914345365213,1.5934812899523232,0.886294293471482,1652530622
https://www.gelighting.com/,unknown,19292139,0.03,14565564.945,0.010987843950698153,4.856627026208583,2.7012559519772137,4.210541801907533,2.3419033502209694,1652530628
