URL,Green Hosting,Bytes,Cleaner Than %,Stats_Adjusted Bytes,Stats_Energy,Stats_CO2_Grid_Grams,Stats_CO2_Grid_Litres,Stats_CO2_Renewable_Grams,Stats_CO2_Renewable_Litres
https://www.rts.rs/,unknown,13101010,0.05,9891262.55,0.007461684444453568,3.298064524448477,1.8343834884982426,2.859317479114608,1.5903523818835446,1651862831
https://www.ivytech.edu/,True,8617697,0.12,6506361.235,0.004908212088374422,2.1694297430614946,1.2066368230908031,1.8808268722650787,1.0461159063538366,1651862815
https://banksy.co.uk/,True,41857535,0.01,31602438.925,0.02383997247484513,10.537267833881547,5.860828369204915,9.135477452360655,5.081152559002995,1651862807
https://www.maturetubehere.com/,True,2106153,0.51,1590145.515,0.0011995601161848754,0.5302055713537149,0.29490033878693617,0.4596714365220443,0.25566925299356097,1651862803
https://18mag.net/,True,212991,0.95,160808.205,0.00012130909231491386,0.05361861880319193,0.029822675778335344,0.046485644175074996,0.02585531529017671,1651862802
https://www.smithsonianmag.com/category/air-space-magazine/,unknown,3472069,0.28,2621412.095,0.00197751801176928,0.8740629612020219,0.4861538190205645,0.7577849021099883,0.4214799625535754,1651862814
https://www.borsaitaliana.it/homepage/homepage.htm,True,4321579,0.26,3262792.145,0.0024613567045424136,1.0879196634077468,0.6051009167873886,0.943191889180653,0.5246033287622791,1651862819
https://yopmail.com/en/,True,954520,0.78,720662.6,0.0005436471719294787,0.24029204999282958,0.13365043820601177,0.20832559628337624,0.11587069665281384,1651862804
https://www.irrawaddy.com/,True,3769637,0.31,2846075.935,0.002146997961541638,0.9489730990014039,0.5278188376645807,0.8227296188627558,0.45760221401146467,1651862814
https://www.estatesales.net/,unknown,1607720,0.57,1213828.6,0.0009156774412840606,0.40472942904755477,0.2251105084362499,0.35088759550005205,0.1951636806171289,1651862806
https://freexxxmovies.biz/,unknown,405858,0.9,306422.79,0.00023115655397996305,0.10217119685914366,0.05682761969305569,0.08857919148512185,0.049267746304024765,1651862801
https://homeguide.com/,True,1051362,0.76,793778.31,0.00059880356406793,0.2646711753180251,0.14721010771188553,0.22946152575083079,0.12762650062261205,1651862805
https://moosend.com/,True,1638814,0.62,1237304.57,0.0009333870389498771,0.41255707121584567,0.2294642430102533,0.35767391332559295,0.19893823059169477,1651862818
https://www.shoptime.com.br/,unknown,2690323,0.37,2031193.865,0.0015322743269149215,0.6772652524963952,0.37669493343849497,0.587167522073798,0.32658257577744637,1651862815
https://www.aruodas.lt/,True,2311447,0.48,1745142.485,0.001316485379682854,0.5818865378198215,0.32364529233538464,0.5044771974944697,0.280590217246424,1651862809
https://www.newsbytesapp.com/,True,3218275,0.36,2429797.625,0.0018329695577267559,0.8101725445152261,0.4506179692593687,0.7023939345208929,0.39067150638052056,1651862815
https://www.businessinsider.com/sai,unknown,567723,0.86,428630.865,0.0003233468166086823,0.14291929294103756,0.07949171073380508,0.12390650012444707,0.06891679536921745,1651862803
https://www.gadgetreview.com/,True,101703,0.98,76785.765,5.7924976246431476e-05,0.025602839500922712,0.01424029933041321,0.022196850897632542,0.012345888469263218,1651862808
https://www.game-debate.com/,True,3574880,0.32,2699034.4,0.002036074049770832,0.8999447299987078,0.5005492588252811,0.7802235758721829,0.4339603529001081,1651862805
https://walkerart.org/,unknown,3327187,0.3,2512026.185,0.0018950004222337159,0.8375901866273024,0.46586766180210554,0.7261641617999599,0.4038925067931376,1651862814
https://bestdatingsitesforover40.org/,True,2282133,0.48,1723010.415,0.0012997895815875383,0.5745069950616919,0.319540790653313,0.49807936766434474,0.2770317442949085,1651862808
https://www.finehomebuilding.com/,True,2754027,0.41,2079290.385,0.0015685569605324418,0.6933021765553393,0.38561467060007965,0.6010710272760318,0.3343157053709288,1651862842
https://idope.se/,True,335325,0.93,253170.375,0.0001909844612237066,0.08441513186087832,0.04695169634102051,0.07318524554092438,0.040705633569862135,1651862799
https://dyno.gg/,True,2908465,0.4,2195891.075,0.0016565171729307625,0.7321805904353971,0.4072388444001678,0.6347773806670683,0.35306317912702334,1651862810
https://www.codeweavers.com/,unknown,2941425,0.34,2220775.875,0.0016752895514946433,0.7404779817606323,0.4118538534552636,0.6419709561327474,0.357064245801034,1651862808
https://123movies-to.org/,True,335319,0.93,253165.845,0.0001909810439217836,0.08441362141342834,0.04695085623014884,0.07318393603082748,0.04070490522034624,1651862796
https://krunker.io/,True,10227620,0.1,7721853.1,0.005825144249014556,2.574713758064434,1.4320557922354378,2.2321952762223782,1.2415470126348864,1651862873
https://www.sunlife.com/en/,True,1331848,0.68,1005545.24,0.0007585544552654028,0.33528106922730805,0.1864833307042287,0.2906780672577024,0.16167514100873404,1651862808
https://www.rdstation.com/,unknown,491221,0.88,370871.855,0.0002797750779893249,0.12366058447128161,0.06878001708292682,0.10720980988550932,0.059630096258320275,1651862802
https://www.macports.org/,True,86789,0.98,65525.695,4.943070276640356e-05,0.021848370622750374,0.012152063740373757,0.018941845300085847,0.010535454355907746,1651862799
https://uneca.org/,unknown,13276382,0.05,10023668.41,0.007561567623261363,3.342212889481522,1.8589388091296222,2.8975927132337547,1.611641067100614,1651862815
https://tnpsc.gov.in/,unknown,1671609,0.56,1262064.795,0.0009520654417108745,0.4208129252362065,0.234056149016378,0.36483147726360715,0.20291926765401827,1651862839
https://www.ivanti.com/company/history/mobileiron?miredirect,unknown,2252348,0.44,1700522.74,0.001282825525291264,0.5670088821787387,0.3153703402678144,0.4915787412916125,0.2734160959063948,1651862824
https://www.universal-music.co.jp/,unknown,5387095,0.18,4067256.725,0.003068221683846787,1.3561539842602797,0.7542928460455675,1.1757425492500886,0.6539480058928991,1651862832
https://www.sendo.vn/,unknown,3398068,0.29,2565541.34,0.0019353707185015083,0.8554338575776667,0.4757923115846981,0.7416340593297781,0.4124968637992225,1651862833
https://wpscdn.cn/,unknown,13693,1,10338.215,7.798852538689972e-06,0.0034470928221009677,0.001917273027652558,0.002988520292825998,0.0016622149868698198,1651862801
https://www.otosia.com/,unknown,5850894,0.15,4417424.97,0.0033323785529471932,1.4729113204026594,0.819233276407959,1.2769674614893645,0.7102493020803844,1651862828
https://binus.ac.id/,unknown,4103514,0.24,3098153.07,0.0023371577139012518,1.0330237095443533,0.5745677872485692,0.8955988359669597,0.4981320725648229,1651862825
https://www.ias.edu/,unknown,1875743,0.5,1416185.965,0.001068330026837066,0.47220187186198315,0.26263868112963495,0.40938406628396373,0.22769941766714058,1651862807
https://pressgazette.co.uk/,unknown,7815869,0.11,5900981.095,0.004451530693983659,1.9675765667407774,1.0943660864212201,1.7058265619345385,0.9487807337479901,1651862819
https://www.commscope.com/ruckus?utm_source=ruckus&utm_medium=redirect,unknown,3355785,0.3,2533617.675,0.001911288422299549,0.8447894826564006,0.46987191025348995,0.7324057234251873,0.4073640633690891,1651862817
https://www.cboe.com/,True,3702893,0.31,2795684.215,0.002108983894949779,0.9321708815678023,0.5184734443280116,0.8081626285447553,0.4495000539965928,1651862810
https://www.brightedge.com/,True,1129884,0.73,853062.42,0.0006435257943347097,0.2844384010959417,0.15820463868956275,0.2465990843890608,0.1371584107371956,1651862807
https://tabby.ai/,True,1653477,0.61,1248375.135,0.000941738355299458,0.4162483530423604,0.23151733396216082,0.36087413775075233,0.20071819541696842,1651862820
https://allpeople.com/,True,63969,0.98,48296.595,3.643356445245445e-05,0.016103635487984866,0.00895684205841718,0.01396134189818055,0.00776529836376802,1651862798
https://www.elheraldo.co/,unknown,3527879,0.28,2663548.645,0.002009304615156725,0.8881126398992725,0.4939682503119753,0.7699655285280571,0.42825482696730527,1651862819
https://www.michigandaily.com/,unknown,2862783,0.35,2161401.165,0.0016304989751894027,0.720680547033716,0.40084252026015277,0.6248072072925792,0.3475177686961325,1651862823
https://11zon.com/,unknown,133817,0.96,101031.835,7.621551523916424e-05,0.033687257735710595,0.01873685275260223,0.029205785439647743,0.016244257861532073,1651862799
https://sphero.com/,True,2659129,0.43,2007642.395,0.0015145077742170544,0.6694124362039381,0.3723271970166303,0.5803593790799754,0.3227958866442822,1651862816
https://www.payfast.co.za/,unknown,1878386,0.5,1418181.43,0.0010698353483341635,0.47286722396370023,0.26300874996861,0.4099609054816515,0.2280202556288945,1651862804
https://eventhubs.com/,True,1841754,0.58,1390524.27,0.0010489715809933841,0.46364543879907577,0.2578795930600459,0.4019659098366648,0.22357343905115293,1651862810
http://lowescouponn.com/,unknown,341341,0.92,257712.455,0.0001944108759518713,0.0859296071707271,0.0477940475083584,0.07449824766475707,0.041435925351137874,1651862800
https://clicksud.biz/,True,1699488,0.6,1283113.44,0.000967943935096264,0.4278312193125487,0.23795972418163955,0.3709161159288884,0.20630354367964768,1651862805
https://unjobs.org/,True,1677939,0.61,1266843.945,0.0009556706952396782,0.42240644729593774,0.23494246598600052,0.3662130104158447,0.20368767639329277,1651862812
https://www.careerexplorer.com/,unknown,1378729,0.63,1040940.395,0.0007852555438410491,0.3470829503777437,0.19304753700010102,0.30090992439989006,0.16736609995121882,1651862808
https://www.odditycentral.com/,True,2561623,0.44,1934025.365,0.0014589732006657868,0.6448661546942778,0.3586745552409572,0.5590785304951297,0.31095947866139106,1651862808
https://yomoblog.com/,True,676746,0.86,510943.23,0.0003854409012012184,0.17036487833093852,0.09475694532766799,0.1477009533403069,0.08215127024787867,1651862800
https://docs.rs/,unknown,361253,0.91,272746.015,0.0002057517619337887,0.0909422787747346,0.05058209545450737,0.07884407517302783,0.043853074611238066,1651862798
https://mir24.tv/,unknown,5857394,0.15,4422332.47,0.003336080630030483,1.4745476384734735,0.8201433965189457,1.2783860974276813,0.7110383473892762,1651862811
https://www.advertiseera.com/,unknown,2347036,0.42,1772012.18,0.0013367551060393453,0.5908457568693907,0.32862840997075504,0.5122445566342771,0.2849104223999849,1651862821
https://www.internetbrands.com/,True,2304118,0.48,1739609.09,0.0013123111453838647,0.5800415262596682,0.3226190969056274,0.502877630911097,0.2797005383127521,1651862801
https://d2l.ai/,unknown,16186851,0.04,12221072.505,0.00921922617503442,4.074897969365214,2.2664582505609316,3.5328074702731898,1.9649475149659477,1651862803
https://www.tripstodiscover.com/,True,1874362,0.57,1415143.31,0.001067543477844447,0.4718542172072456,0.2624453156106699,0.40908266070999216,0.2275317758868976,1651862814
https://bigo.tv/,unknown,1869509,0.5,1411479.295,0.0010647794501390307,0.4706325169614516,0.2617658059339593,0.40802348529327664,0.22694266252012044,1651862814
https://www.tomford.com/,True,1825152,0.58,1377989.76,0.001039515906572342,0.4594660307049751,0.2555550062781071,0.39834249539852146,0.2215580959406576,1651862805
https://infillion.com/,True,5044071,0.22,3808273.605,0.0028728522547055036,1.2698006965798325,0.7062631474377027,1.100876984003149,0.6123077785025514,1651862810
https://www.thenewhumanitarian.org/,True,1848137,0.58,1395343.435,0.0010526070206891747,0.4652523031446152,0.25877333100903493,0.40335901032809174,0.22434828154448458,1651862801
https://www.bodyandsoul.com.au/?nk=76e4076ca91dba6211b1fb8a15a25110-1651862793,unknown,3972181,0.25,2998996.655,0.0022623569616582245,0.9999617770529352,0.5561787403968425,0.8669351877074317,0.48218935140287345,1651862824
https://erpnext.com/,unknown,1924400,0.49,1452922,0.001096042636781931,0.4844508454576135,0.26945156024352457,0.42000353841483595,0.23360596806633172,1651862804
https://www.esteelauder.com/,unknown,5450817,0.18,4115366.835,0.0031045145693700763,1.3721954396615736,0.7632151035397671,1.1896499829826133,0.6616833205349294,1651862840
https://www.poder360.com.br/,True,5457143,0.2,4120142.965,0.003108117544697598,1.3737879547563383,0.7641008604354752,1.19103064312812,0.6624512437078601,1651862814
https://kiwifarms.net/,True,2195804,0.5,1657832.02,0.0012506208719685675,0.5527744254101068,0.3074531354131013,0.4792379181383551,0.26655213006855305,1651862808
https://residentportal.com/,True,2766036,0.41,2088357.18,0.0015753966903313994,0.6963253371264786,0.3872961525097473,0.6036920117349923,0.33577349692700265,1651862809
https://brightbrides.net/,True,5109212,0.22,3857455.06,0.0029099533321335913,1.2861993728030474,0.7153840911530548,1.1150941168735924,0.6202153478050919,1651862812
https://www.gensler.com/,unknown,16988680,0.03,12826453.4,0.009675908138975502,4.276751397427172,2.3787291272489925,3.707807998855413,2.0622828089633805,1651862803
https://www.expat.com/,True,1126823,0.73,850751.365,0.0006417824008036405,0.2836678211552091,0.15777604212652727,0.24593101598795505,0.13678683109250056,1651862801
https://www.draugiem.lv/?login=0,unknown,984874,0.73,743579.87,0.0005609353023581207,0.24793340364228933,0.13790055910584129,0.21495040786363184,0.11955541685375201,1651862803
https://en.climate-data.org/,True,260125,0.95,196394.375,0.0001481542771216482,0.0654841904877685,0.036422306749296834,0.0567727189930156,0.03157698630391527,1651862799
https://www.junglescout.cn/,unknown,2851305,0.35,2152735.275,0.0016239616766106338,0.7177910610619002,0.39923538816262877,0.622302114477195,0.34612443607221577,1651862839
https://dfa.gov.ph/,unknown,4582104,0.21,3459488.52,0.002609738801792264,1.1535045503921806,0.6415792309281307,1.0000519088467956,0.5562288717005877,1651862822
https://lubimyczytac.pl/,True,2801551,0.41,2115171.005,0.0015956242699641735,0.7052659273241647,0.3922689087777003,0.6114432202502714,0.34008471910320087,1651862818
