URL,Green Hosting,Bytes,Cleaner Than %,Stats_Adjusted Bytes,Stats_Energy,Stats_CO2_Grid_Grams,Stats_CO2_Grid_Litres,Stats_CO2_Renewable_Grams,Stats_CO2_Renewable_Litres
https://www.ovh.co.uk/mail/,True,805291,0.83,607994.705,0.00045865374715067445,0.2027249562405981,0.11275562066102064,0.17575611590813847,0.0977555516681066,1651843193
https://mediatagtw.com/,True,5131451,0.22,3874245.505,0.0029226195617113263,1.2917978462764061,0.7184979620989369,1.1199478160477803,0.6229149752857752,1651843196
https://skimlinks.com/blog/affiliate-success-depends-on-authenticity/,unknown,708150,0.82,534653.25,0.0004033270594663918,0.17827056028414517,0.09915408563004152,0.15455492918752137,0.08596345161409936,1651843191
https://fb.ru/,unknown,1055807,0.71,797134.285,0.0006013352152425797,0.2657901651372202,0.14783248984932185,0.23043165448095654,0.128166086222308,1651843187
https://www.houstonmethodist.org/,unknown,1715725,0.55,1295372.375,0.0009771917236503214,0.43191874185344203,0.24023320421888442,0.3744598685028032,0.2082745788612591,1651843205
https://www.utm.my/,unknown,1239960,0.66,936169.8,0.0007062196154147387,0.3121490700133145,0.1736173127414055,0.27062335662692794,0.15052071095589728,1651843205
https://www.nosto.com/,unknown,9703830,0.09,7326391.65,0.005526819486636669,2.442854213093408,1.3587155133225532,2.1178772272791715,1.177963313812675,1651843236
http://www.xbiao.com/,unknown,5418922,0.18,4091286.11,0.0030863487618975343,1.3641661527587101,0.7587492141643944,1.1826888455591351,0.6578115358999909,1651843227
https://freefind.com/,unknown,166448,0.96,125668.24,9.480051174759866e-05,0.0419018261924386,0.023305795728234345,0.03632755610167981,0.020205386703754304,1651843189
https://currency.com/,True,1965952,0.55,1484293.76,0.0011197085916996002,0.4949111975312233,0.27526960806686634,0.4290723323392869,0.23865003124711132,1651843191
https://local12.com/,unknown,6280746,0.14,4741963.23,0.00357720089731738,1.581122796614282,0.8794204994768635,1.3707833838520203,0.7624297180984935,1651843247
https://www.pinsentmasons.com/,unknown,780694,0.8,589423.97,0.00044464451791718603,0.19653287691939622,0.10931158614256815,0.1703877792658657,0.09476968282767449,1651843209
https://www.quechoisir.org/,True,658466,0.86,497141.83,0.000375029521342367,0.1657630484333262,0.09219740753861602,0.14371131257839503,0.07993223205610331,1651843187
https://www.56.com/,True,17014403,0.04,12845874.265,0.00969055868186988,4.283226937386487,2.3823308225743633,3.7134220868925385,2.0654053647296293,1651843349
https://emerson.edu/,unknown,3414924,0.29,2578267.62,0.0019449710587039592,0.85967720794715,0.4781524630602047,0.7453129096953572,0.4145430403725576,1651843192
https://www.akzonobel.com/,True,3011629,0.38,2273779.895,0.0017152742621954532,0.7581512238903904,0.42168371072783506,0.6572930972732978,0.36558642070340813,1651843198
https://www.freshersgroup.com/,True,528975,0.89,399376.125,0.0003012778807897121,0.13316482330905274,0.07406627472449512,0.11544968391861767,0.06421311419553513,1651843191
https://www.mantisadnetwork.com/,True,1971749,0.55,1488670.495,0.0011230102749075742,0.4963705415091478,0.27608129518738794,0.43033753734458247,0.23935373827105672,1651843193
https://kopilkaurokov.ru/,unknown,3513880,0.28,2652979.4,0.0020013314802199604,0.8845885142572225,0.49200813162986706,0.7669102232202889,0.42655546615512463,1651843196
https://www.truenas.com/,unknown,5759806,0.16,4348653.53,0.0032804993533529347,1.4499807141819971,0.8064792732280267,1.2570873522048447,0.6991919852963345,1651843200
https://demonition.com/,unknown,1525004,0.59,1151378.02,0.0008685665169730784,0.3839064005021006,0.21352873995926833,0.33283468930408366,0.1851226541909313,1651843192
https://www.porzo.com/,unknown,2960602,0.34,2235254.51,0.0016862118179909885,0.7453056235520169,0.4145389878196317,0.6461563686541468,0.3593921722454364,1651843205
https://www.brooksbrothers.com/,True,3083751,0.37,2328232.005,0.0017563513704109937,0.7763073057216592,0.43178212344238676,0.6730338451414928,0.3743414246676982,1651843204
https://www.utrgv.edu/en-us/,unknown,2190171,0.45,1653579.105,0.0012474125950131566,0.5513563669958153,0.3066644113230724,0.4780085064090417,0.26586833126470893,1651843207
https://lumen5.com/,True,5979900,0.18,4514824.5,0.003405853961594403,1.505387451024726,0.8372965002599525,1.3051232380829754,0.7259095450217508,1651843223
https://trainingpeaks.com/,unknown,5627694,0.17,4248908.97,0.0032052549214102327,1.4167226752633229,0.78798115198146,1.2282536858844013,0.6831547000889039,1651843212
https://www.khl.ru/,unknown,6731701,0.13,5082434.255,0.0038340424621012064,1.6946467682487332,0.9425625324999451,1.4692050714771825,0.8171718607556088,1651843236
https://www.dba.dk/,unknown,920972,0.76,695333.86,0.0005245398977771401,0.23184663481749596,0.12895309828549123,0.20100368882820013,0.1117982517262449,1651843190
https://bootsnipp.com/,unknown,1261424,0.65,952375.12,0.0007184444434940816,0.31755244402438404,0.17662266936636237,0.27530791074693206,0.15312625995744358,1651843187
https://www.thesportster.com/,unknown,1474054,0.6,1112910.77,0.0008395479281432927,0.3710801842393354,0.2063947984739183,0.32171476606450977,0.1789377528850803,1651843190
https://twentytwowords.com/,True,823745,0.82,621927.475,0.000469164228765294,0.20737058911425993,0.11533952166535134,0.17978373246286067,0.09999571199584309,1651843186
https://www.technologynetworks.com/,unknown,1605940,0.58,1212484.7,0.0009146636417135597,0.4042813296373934,0.22486127554431815,0.3504991075046361,0.19494760359407856,1651843191
https://capitalizemytitle.com/,True,3574214,0.32,2698531.57,0.002035694729257375,0.8997770703317598,0.5004560065185247,0.7800782202514263,0.4338795061038432,1651843199
