URL,Green Hosting,Bytes,Cleaner Than %,Stats_Adjusted Bytes,Stats_Energy,Stats_CO2_Grid_Grams,Stats_CO2_Grid_Litres,Stats_CO2_Renewable_Grams,Stats_CO2_Renewable_Litres
True,170821,0.96,128969.855,9.72911552991718e-05,0.0430026906422339,0.0239180965352105,0.0372819707106426,0.0207362321092594,1651677726
True,3543405,0.32,2675270.775,0.0020181474534329,0.8920211744173431,0.4961421772109261,0.7733541041554884,0.4301395527312825,1651668187
True,435816,0.91,329041.08,0.0002482191424816,0.1097128609769046,0.0610222932753543,0.0951175753989816,0.0529043954369135,1651677735
True,2004776,0.54,1513605.88,0.0011418208133429,0.5046847994975745,0.2807056854805508,0.4375457356730103,0.2433629381813283,1651677748
unknown,768548,0.8,580253.74,0.0004377267597243,0.193475227798149,0.1076109217013304,0.167736894326359,0.0932952606243208,1651677764
True,1294778,0.69,977557.39,0.0007374412248842,0.3259490213988349,0.1812928457020319,0.2825874773756415,0.1571751549163317,1651684399
unknown,1612252,0.57,1217250.26,0.0009182586433365,0.4058703203547746,0.2257450721813256,0.3518767121265829,0.1957138272848054,1651677870
unknown,343366,0.92,259241.33,0.0001955642153508,0.086439383185096,0.0480775849275504,0.0749402073224634,0.0416817433127541,1651677887
unknown,413977,0.9,312552.635,0.0002357807330321,0.1042150840002112,0.0579644297209174,0.0903511768979206,0.0502533245906234,1651677871
unknown,72928,0.98,55060.64,4.153616577386856e-05,0.0183589852720499,0.0102112676083141,0.0159166587245464,0.0088528455825927,1651677863
unknown,1584056,0.58,1195962.28,0.0009021996024996,0.398772224304825,0.2217971111583436,0.3457228876778483,0.1922910701264192,1651677869
unknown,2017477,0.48,1523195.135,0.0011490546719636,0.5078821650079451,0.282484060177419,0.440317750296481,0.2449047327149026,1651677877
unknown,2218311,0.44,1674824.805,0.0012634397410321,0.5584403655362316,0.3106045313112519,0.4841501087635383,0.26928429049428,1651677891
unknown,1110923,0.69,838746.865,0.0006327265507075,0.2796651354127563,0.155549748316575,0.2424608142311498,0.1348567048753655,1651677880
unknown,3080593,0.32,2325847.715,0.0017545527304988,0.7755123068804852,0.4313399450869258,0.6723446063271538,0.3739580700391628,1651677880
unknown,2553102,0.39,1927592.01,0.0014541200623847,0.6427210675740614,0.3574814577846929,0.557218807905838,0.309925100957227,1651677873
unknown,1456644,0.61,1099766.22,0.0008296320570632,0.3666973692219704,0.2039570767612599,0.3179150042666495,0.1768243253731104,1651677866
unknown,1492207,0.6,1126616.285,0.0008498869751114,0.3756500429992564,0.2089365539161863,0.3256766888627038,0.1811413743454358,1651677870
unknown,1135965,0.69,857653.575,0.0006469892298337,0.2859692395864986,0.1590560910580105,0.2479262728722766,0.1378965929715602,1651677933
unknown,5372529,0.18,4056259.395,0.0030599256138782,1.3524871213342065,0.7522533368860855,1.1725634952381627,0.652179816051466,1651684801
unknown,6585890,0.14,4972346.95,0.0037509957603178,1.6579401260605084,0.9221462981148546,1.4373815753538166,0.7994716322117926,1651677879
True,3442280,0.34,2598921.4,0.0019605516772717,0.866563841354102,0.4819828085611514,0.7512834027305247,0.4178638285987178,1651677882
unknown,1643134,0.57,1240566.17,0.0009358474963344,0.4136445933798328,0.230069122837863,0.3586167605953664,0.1994626422431427,1651677888
True,697539,0.85,526641.945,0.0003972835610155,0.1755993339688517,0.0976683495534753,0.1522390605811402,0.0846753654952301,1651677929
unknown,3848440,0.26,2905572.2,0.0021918802354484,0.968811064068228,0.5388527138347484,0.8399285062238576,0.4671682351617095,1651677869
True,1706764,0.6,1288606.82,0.0009720879832282,0.4296628885868937,0.2389784986320302,0.3725041151730717,0.2071867888592624,1651677870
unknown,1357583,0.63,1024975.165,0.0007732118327636,0.3417596300815232,0.1900867062513432,0.296294774315022,0.1647991534740152,1651677868
True,375315,0.92,283362.825,0.0002137607785407,0.0944822641150094,0.0525510353007682,0.0819131303368136,0.0455600830933357,1651677865
True,730222,0.85,551317.61,0.0004158981741406,0.1838269929701462,0.1022445734899953,0.1593721803306788,0.0886428066999235,1651677866
True,2203197,0.5,1663413.735,0.001254831557488,0.5546355484097265,0.3084882920254898,0.4808514528294281,0.2674495780637279,1651677900
unknown,1748951,0.54,1320458.005,0.0009961156025994,0.44028309634896,0.2448854581892915,0.3817114989161119,0.2123079356971414,1651677886
unknown,10995798,0.07,8301827.49,0.0062626602751202,2.768095841603168,1.5396149070996814,2.399851417426095,1.3347973583723938,1651677877
True,170896,0.96,129026.48,9.733387157320976e-05,0.0430215712353587,0.0239285979211065,0.0372983395868539,0.0207453364782081,1651677861
unknown,8426547,0.1,6362042.985,0.0047993425446096,2.121309404717479,1.1798722909038617,1.8391080630944296,1.0229119046931217,1651677905
unknown,1553849,0.58,1173155.995,0.000884995195968,0.3911678766178899,0.2175675729748703,0.339130159094967,0.1886241944886206,1651677877
unknown,1071172,0.7,808734.86,0.0006100863559171,0.2696581693153829,0.1499838737732159,0.2337850915874541,0.1300312679409419,1651677879
unknown,4369308,0.22,3298827.54,0.0024885407717898,1.0999350211311132,0.611783858753125,0.9536088237498702,0.5303972277696777,1651677894
True,1860789,0.57,1404895.695,0.0010598129713442,0.4684373333341443,0.260544844800451,0.4061203306191042,0.2258841278903457,1651677867
unknown,6248252,0.14,4717430.26,0.0035586939292028,1.5729427167076615,0.8748707390328013,1.363691513670534,0.7584852199035508,1651677942
unknown,2617,1.0,1975.835,1.490513188764453e-06,0.0006588068294338,0.0003664283585311,0.0005711646539345,0.0003176817805183,1651677861
True,976873,0.77,737539.115,0.0005563783302437,0.2459192219677381,0.1367802712584559,0.2132041761494056,0.1185841627742993,1651677868
unknown,958723,0.74,723835.865,0.0005460409919265,0.241350118431542,0.1342389358716236,0.20924290810626,0.1163809054887018,1651677889
unknown,6178217,0.15,4664553.835,0.0035188054725062,1.555312018847745,0.8650645448831156,1.34840625706438,0.749983560179208,1651677883
unknown,3821589,0.26,2885299.695,0.0021765872397925,0.9620515599883162,0.5350930776655013,0.8340682302885131,0.4639087496864709,1651677872
unknown,2159553,0.45,1630462.515,0.0012299741032999,0.5436485536585562,0.3023773255448889,0.4713260763845221,0.2621515636850711,1651677870
